sample,run,plate,type,gel_band,concentration,reads_total,qPCR_P/N,qPCR_score,average_Ct,qPCR_inhibition,qPCR_degradation
F30,Run 1,1,FERA,Yes,6.08,62658,P,12,37.0,No,No
F310,Run 2,5,FERA,Yes,0.00,16284,P,9,40.6,No,No
F311,Run 2,5,FERA,Yes,1.72,90806,P,4,40.7,No,No
F312,Run 2,5,FERA,Yes,2.20,68412,P,9,40.7,No,No
F313,Run 2,5,FERA,No,0.00,10,P,3,42.2,No,No
F314,Run 2,5,FERA,Yes,2.41,63645,P,3,41.0,No,No
F315,Run 2,5,FERA,Yes,3.95,85566,P,12,38.8,No,No
F316,Run 2,5,FERA,Yes,0.00,26005,N,2,40.0,No,No
F317,Run 2,5,FERA,Yes,0.00,22046,N,2,41.0,No,No
F318,Run 2,5,FERA,Yes,0.96,36967,P,5,40.4,No,No
F319,Run 2,5,FERA,No,0.00,44,P,6,39.4,No,No
F31,Run 1,1,FERA,Yes,17.10,59580,P,12,34.9,No,No
F320,Run 2,6,FERA,Yes,1.39,42647,P,9,41.1,No,No
F321,Run 2,6,FERA,Yes,0.00,0,P,12,36.9,No,No
F322,Run 2,6,FERA,Yes,0.63,15591,P,5,40.5,No,No
F323,Run 2,6,FERA,Yes,9.73,56972,P,12,36.7,No,No
F324,Run 2,6,FERA,No,0.00,20,P,3,40.4,No,No
F325,Run 2,6,FERA,Yes,2.77,45550,N,1,40.5,No,No
F326,Run 2,6,FERA,Yes,18.20,57206,N,1,41.9,No,No
F327,Run 2,6,FERA,No,0.00,28,P,5,41.6,No,No
F328,Run 2,6,FERA,Yes,2.78,53621,P,10,40.5,No,No
F329,Run 2,6,FERA,Yes,5.26,50126,P,4,41.2,No,No
F32,Run 1,1,FERA,Yes,6.23,58041,P,10,38.6,No,No
F330,Run 2,6,FERA,Yes,1.37,46344,P,9,39.9,No,No
F331,Run 2,6,FERA,Yes,0.83,26400,P,4,40.6,No,No
F332,Run 2,6,FERA,Yes,8.25,69529,P,12,35.6,No,No
F333,Run 2,6,FERA,Yes,10.90,66882,P,11,38.9,No,No
F334,Run 2,6,FERA,Yes,4.78,55420,P,12,35.5,No,No
F335,Run 2,6,FERA,Yes,3.86,44228,N,2,40.1,No,No
F336,Run 2,6,FERA,Yes,15.70,48590,P,11,39.3,No,No
F337,Run 2,6,FERA,Yes,0.74,26813,P,12,36.6,No,No
F338,Run 2,6,FERA,Yes,2.62,42598,N,1,40.0,No,No
F339,Run 2,6,FERA,No,0.00,38,P,3,41.4,No,No
F33,Run 1,1,FERA,Yes,2.70,51834,N,1,39.5,No,No
F340,Run 2,6,FERA,Yes,1.45,31624,N,2,40.6,No,No
F341,Run 2,6,FERA,Yes,9.18,40359,P,12,38.0,No,No
F342,Run 2,6,FERA,Yes,12.60,42776,P,12,35.3,No,No
F343,Run 2,6,FERA,Yes,9.80,40301,P,5,40.5,No,No
F344,Run 2,6,FERA,Yes,5.49,35722,P,12,36.6,No,No
F345,Run 2,6,FERA,Yes,7.30,39095,P,6,40.3,No,No
F346,Run 2,6,FERA,Yes,15.50,43347,N,1,41.0,No,No
F347,Run 2,6,FERA,Yes,4.34,36104,P,12,35.7,No,No
F348,Run 2,6,FERA,Yes,3.43,38465,P,12,37.7,No,No
F349,Run 2,6,FERA,Yes,12.60,52055,P,12,32.3,No,No
F34,Run 1,1,FERA,Yes,12.30,52376,P,12,35.6,No,No
F350,Run 2,6,FERA,Yes,6.22,48036,P,12,35.6,No,No
F351,Run 2,6,FERA,Yes,2.57,39901,N,2,40.6,No,No
F352,Run 2,6,FERA,Yes,14.80,48359,P,7,40.6,No,No
F353,Run 2,6,FERA,Yes,3.92,38613,P,8,39.5,No,No
F354,Run 2,6,FERA,Yes,2.84,40211,P,6,40.0,No,No
F355,Run 2,6,FERA,Yes,3.41,41365,N,1,40.8,No,No
F356,Run 2,6,FERA,Yes,2.46,43213,P,9,38.9,No,No
F357,Run 2,6,FERA,Yes,2.01,39906,N,1,40.9,No,No
F358,Run 2,6,FERA,No,0.00,9,P,8,41.2,No,No
F359,Run 2,6,FERA,No,0.00,68,P,12,38.9,No,No
F35,Run 1,1,FERA,Yes,1.63,130187,P,9,39.4,No,No
F360,Run 2,6,FERA,Yes,3.27,16251,P,5,40.4,No,No
F361,Run 2,6,FERA,Yes,0.56,15601,P,3,40.7,No,No
F362,Run 2,6,FERA,Yes,5.34,46391,P,5,40.5,No,No
F363,Run 2,6,FERA,Yes,0.28,8675,P,6,40.7,No,No
F364,Run 2,6,FERA,Yes,1.96,41592,N,1,52.0,No,No
F365,Run 2,6,FERA,Yes,10.00,48324,N,1,39.8,No,No
F366,Run 2,6,FERA,Yes,30.10,66999,P,12,28.0,No,No
F367,Run 2,6,FERA,Yes,19.50,52705,P,12,34.5,No,No
F368,Run 2,6,FERA,Yes,26.90,68967,P,12,37.2,No,No
F369,Run 2,6,FERA,Yes,0.80,18288,N,2,39.2,No,No
F36,Run 1,1,FERA,Yes,2.45,45932,P,4,41.1,No,No
F370,Run 2,6,FERA,Yes,15.30,39143,N,1,41.7,No,No
F371,Run 2,6,FERA,Yes,0.47,10335,P,12,39.7,No,No
F372,Run 2,6,FERA,Yes,5.96,40207,P,12,38.7,No,No
F373,Run 2,6,FERA,Yes,4.53,38139,P,12,39.4,No,No
F374,Run 2,6,FERA,Yes,3.06,29797,P,5,40.2,No,No
F375,Run 2,6,FERA,Yes,0.84,13006,P,3,39.8,No,No
F376,Run 2,6,FERA,No,0.00,5,P,12,40.1,No,No
F377,Run 2,6,FERA,Yes,21.20,58519,P,12,38.4,No,No
F378,Run 2,6,FERA,Yes,4.50,37906,P,8,41.9,No,No
F379,Run 2,6,FERA,Yes,15.30,46620,P,9,38.4,No,No
F37,Run 1,1,FERA,Yes,13.40,47623,P,12,36.8,No,No
F380,Run 2,6,FERA,Yes,2.18,38658,P,5,41.0,No,No
F381,Run 2,6,FERA,Yes,2.42,35805,N,1,43.5,No,No
F382,Run 2,6,FERA,No,0.00,0,P,12,36.4,No,No
F383,Run 2,7,FERA,Yes,0.00,842,N,0,0.0,No,No
F384,Run 2,7,FERA,Yes,8.10,44713,N,0,0.0,No,No
F385,Run 2,7,FERA,Yes,3.57,9088,N,0,0.0,No,No
F386,Run 2,7,FERA,No,0.00,12,N,0,0.0,No,No
F387,Run 2,7,FERA,Yes,0.37,2394,N,0,0.0,No,No
F388,Run 2,7,FERA,Yes,0.42,8658,N,0,0.0,No,No
F389,Run 2,7,FERA,Yes,0.65,4235,N,0,0.0,No,No
F38,Run 1,1,FERA,Yes,6.22,54348,P,9,41.1,No,No
F390,Run 2,7,FERA,Yes,0.00,6718,N,0,0.0,No,No
F391,Run 2,7,FERA,Yes,1.64,9505,N,0,0.0,No,No
F392,Run 2,7,FERA,Yes,11.00,46148,N,0,0.0,No,No
F393,Run 2,7,FERA,Yes,1.20,5188,N,0,0.0,No,No
F394,Run 2,7,FERA,Yes,5.16,48691,N,0,0.0,No,No
F395,Run 2,7,FERA,No,0.00,176,N,0,0.0,No,No
