SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
F326	12S	SRR6285525	SAMN08011841	PRJNA417951
F327	12S	SRR6285526	SAMN08011842	PRJNA417951
F328	12S	SRR6285519	SAMN08011843	PRJNA417951
F329	12S	SRR6285520	SAMN08011844	PRJNA417951
F33	12S	SRR6285521	SAMN08011845	PRJNA417951
F330	12S	SRR6285522	SAMN08011846	PRJNA417951
F331	12S	SRR6285515	SAMN08011847	PRJNA417951
F332	12S	SRR6285516	SAMN08011848	PRJNA417951
F333	12S	SRR6285812	SAMN08011849	PRJNA417951
F334	12S	SRR6285811	SAMN08011850	PRJNA417951
F335	12S	SRR6285433	SAMN08011851	PRJNA417951
F336	12S	SRR6285432	SAMN08011852	PRJNA417951
F337	12S	SRR6285427	SAMN08011853	PRJNA417951
F338	12S	SRR6285426	SAMN08011854	PRJNA417951
F339	12S	SRR6285429	SAMN08011855	PRJNA417951
F34	12S	SRR6285428	SAMN08011856	PRJNA417951
F340	12S	SRR6285830	SAMN08011857	PRJNA417951
F341	12S	SRR6285827	SAMN08011858	PRJNA417951
F342	12S	SRR6285895	SAMN08011859	PRJNA417951
F343	12S	SRR6285896	SAMN08011860	PRJNA417951
F344	12S	SRR6285893	SAMN08011861	PRJNA417951
F345	12S	SRR6285894	SAMN08011862	PRJNA417951
F346	12S	SRR6285891	SAMN08011863	PRJNA417951
F347	12S	SRR6285892	SAMN08011864	PRJNA417951
F348	12S	SRR6285889	SAMN08011865	PRJNA417951
F349	12S	SRR6285890	SAMN08011866	PRJNA417951
F35	12S	SRR6285898	SAMN08011867	PRJNA417951
F350	12S	SRR6285899	SAMN08011868	PRJNA417951
F351	12S	SRR6285276	SAMN08011869	PRJNA417951
F352	12S	SRR6285322	SAMN08011870	PRJNA417951
F353	12S	SRR6285321	SAMN08011871	PRJNA417951
F354	12S	SRR6285320	SAMN08011872	PRJNA417951
F355	12S	SRR6285319	SAMN08011873	PRJNA417951
F356	12S	SRR6285318	SAMN08011874	PRJNA417951
F357	12S	SRR6285317	SAMN08011875	PRJNA417951
F358	12S	SRR6285316	SAMN08011876	PRJNA417951
F359	12S	SRR6285293	SAMN08011877	PRJNA417951
F36	12S	SRR6285287	SAMN08011878	PRJNA417951
F360	12S	SRR6285770	SAMN08011879	PRJNA417951
F361	12S	SRR6285771	SAMN08011880	PRJNA417951
F362	12S	SRR6285772	SAMN08011881	PRJNA417951
F363	12S	SRR6285773	SAMN08011882	PRJNA417951
F364	12S	SRR6285774	SAMN08011883	PRJNA417951
F365	12S	SRR6285775	SAMN08011884	PRJNA417951
F366	12S	SRR6285776	SAMN08011885	PRJNA417951
F367	12S	SRR6285777	SAMN08011886	PRJNA417951
F368	12S	SRR6285762	SAMN08011887	PRJNA417951
F369	12S	SRR6285763	SAMN08011888	PRJNA417951
F37	12S	SRR6285338	SAMN08011889	PRJNA417951
F370	12S	SRR6285339	SAMN08011890	PRJNA417951
F371	12S	SRR6285336	SAMN08011891	PRJNA417951
F372	12S	SRR6285337	SAMN08011892	PRJNA417951
F373	12S	SRR6285334	SAMN08011893	PRJNA417951
F374	12S	SRR6285335	SAMN08011894	PRJNA417951
F375	12S	SRR6285332	SAMN08011895	PRJNA417951
F376	12S	SRR6285333	SAMN08011896	PRJNA417951
F377	12S	SRR6285346	SAMN08011897	PRJNA417951
F378	12S	SRR6285347	SAMN08011898	PRJNA417951
F379	12S	SRR6285778	SAMN08011899	PRJNA417951
F38	12S	SRR6285901	SAMN08011900	PRJNA417951
F380	12S	SRR6285518	SAMN08011901	PRJNA417951
F381	12S	SRR6285517	SAMN08011902	PRJNA417951
F382	12S	SRR6285512	SAMN08011903	PRJNA417951
F383	12S	SRR6285511	SAMN08011904	PRJNA417951
F384	12S	SRR6285514	SAMN08011905	PRJNA417951
F385	12S	SRR6285513	SAMN08011906	PRJNA417951
F386	12S	SRR6285524	SAMN08011907	PRJNA417951
F387	12S	SRR6285794	SAMN08011908	PRJNA417951
F388	12S	SRR6285994	SAMN08011909	PRJNA417951
F389	12S	SRR6285995	SAMN08011910	PRJNA417951
F39	12S	SRR6285996	SAMN08011911	PRJNA417951
F390	12S	SRR6285997	SAMN08011912	PRJNA417951
F391	12S	SRR6285990	SAMN08011913	PRJNA417951
F392	12S	SRR6285991	SAMN08011914	PRJNA417951
F393	12S	SRR6285992	SAMN08011915	PRJNA417951
F394	12S	SRR6285993	SAMN08011916	PRJNA417951
F395	12S	SRR6285988	SAMN08011917	PRJNA417951
F396	12S	SRR6285989	SAMN08011918	PRJNA417951
F397	12S	SRR6285786	SAMN08011919	PRJNA417951
F398	12S	SRR6285785	SAMN08011920	PRJNA417951
F399	12S	SRR6285784	SAMN08011921	PRJNA417951
F4	12S	SRR6285783	SAMN08011922	PRJNA417951
F40	12S	SRR6285790	SAMN08011923	PRJNA417951
F400	12S	SRR6285789	SAMN08011924	PRJNA417951
F401	12S	SRR6285788	SAMN08011925	PRJNA417951
F402	12S	SRR6285787	SAMN08011926	PRJNA417951
F403	12S	SRR6285780	SAMN08011927	PRJNA417951
F404	12S	SRR6285779	SAMN08011928	PRJNA417951
F405	12S	SRR6285420	SAMN08011929	PRJNA417951
